〃,"signo ídem"
呼ぶ,llamar
呼ぶ,llamársele
呼ぶ,vocear
呼ぶ,"llamar a gritos"
呼ぶ,vociferar
喚ぶ,llamar
喚ぶ,llamársele
喚ぶ,vocear
喚ぶ,"llamar a gritos"
喚ぶ,vociferar
招ぶ,llamar
招ぶ,llamársele
招ぶ,vocear
招ぶ,"llamar a gritos"
招ぶ,vociferar
呼吸,respiración
呼吸,respirar
呼吸器,"aparato respiratorio"
呼称,exclamar
呼称,gritar
呼称,"llamar por nombre"
固まる,endurecerse
固まる,solidificarse
固まる,"volverse firme"
固まる,"volverse cierto"
固める,endurecer
固める,congelar
固める,fortificar
堅める,endurecer
堅める,congelar
堅める,fortificar
固形,sólido
固型,sólido
固唾を飲む,"tragar saliva"
固唾を飲む,"contener la respiración"
固唾を呑む,"tragar saliva"
固唾を呑む,"contener la respiración"
固唾をのむ,"tragar saliva"
固唾をのむ,"contener la respiración"
固体,sólidos
固定,afianzamiento
固定,amarre
固定,apuntalamiento
固定,fijación
固有,propio
固有,individual
固有,inherente
固有名詞,"nombre propio"
固陋,inflexible
固陋,testarudo
固陋,porfiado
姑,suegra
姑息,improvisado
姑息,provisional
孤児,huérfano
孤,huérfano
みなし子,huérfano
孤児院,orfanato
孤城,"castillo solitario"
弧城,"castillo solitario"
孤島,"isla solitaria"
孤独,soledad
孤独,solitario
孤立,aislamiento
孤立,solitud
孤立,apartamiento
孤立,incomunicación
弧状,"en forma de arco"
弧線,"arco (de un círculo)"
戸,puerta
門,puerta
戸口,puerta
戸籍,"Registro Familiar"
戸棚,armario
戸棚,alacena
戸締まり,cerrojo
戸締まり,cerradura
戸締まり,pasador
戸締まり,candado
戸締まり,aldaba
戸締り,cerrojo
戸締り,cerradura
戸締り,pasador
戸締り,candado
戸締り,aldaba
戸別,"puerta a puerta"
戸別,"de puerta en puerta"
戸惑う,"estar desconcertado"
戸惑う,"estar perplejo"
故,"difunto (Sr. López)"
故意,deliberado
故意,intencional
故国,"tierra natal"
故事,"hechos pasados"
故事,leyendas
古事,"hechos pasados"
古事,leyendas
故障,dañado
故障,falla
故障,accidente
故障,"fuera de orden"
故人,finado
故人,fallecido
故人,difunto
故買,receptación
枯れる,marchitarse
枯れる,envejecer
枯れ枝,"rama seca"
枯枝,"rama seca"
湖,lago
湖沼,"lagos y pantanos"
湖上,"en el lago"
湖水,lago
湖面,"superficie del lago"
狐,zorro
狐疑逡巡,"desconfiado e indeciso"
狐疑逡巡,irresoluto
狐疑逡巡,vacilante
糊,pegamento
糊,cola
袴,hakama
股,muslo
股,entrepierna
股,"bifurcación de un camino"
胯,muslo
胯,entrepierna
胯,"bifurcación de un camino"
叉,muslo
叉,entrepierna
叉,"bifurcación de un camino"
俣,muslo
俣,entrepierna
俣,"bifurcación de un camino"
胡座,"sentarse con las piernas cruzadas"
胡座,vanagloriarse
胡坐,"sentarse con las piernas cruzadas"
胡坐,vanagloriarse
胡床,"sentarse con las piernas cruzadas"
胡床,vanagloriarse
胡座をかく,"sentarse en el suelo con las piernas cruzadas"
胡座をかく,"sentarse al estilo indio"
胡坐をかく,"sentarse en el suelo con las piernas cruzadas"
胡坐をかく,"sentarse al estilo indio"
胡床をかく,"sentarse en el suelo con las piernas cruzadas"
胡床をかく,"sentarse al estilo indio"
胡桃,"nuez (fruto)"
胡桃,nogal
胡麻,sésamo
胡乱,sospechoso
胡乱,"que no parece de fiar"
胡椒,Piperaceae
胡椒,"Piperáceas (orden Piperales) (sistemática vegetal)"
胡椒,pimienta
虎,"tigre (feline, Panthera tigris)"
虎,"persona borracha"
虎刈り,trasquilón
虎刈り,trasquiladura
虎刈り,"cabeza trasquilada"
虎刈,trasquilón
虎刈,trasquiladura
虎刈,"cabeza trasquilada"
とら刈り,trasquilón
とら刈り,trasquiladura
とら刈り,"cabeza trasquilada"
虎苅り,trasquilón
虎苅り,trasquiladura
虎苅り,"cabeza trasquilada"
虎苅,trasquilón
虎苅,trasquiladura
虎苅,"cabeza trasquilada"
誇り,orgullo
誇る,enorgullecerse
誇示,ostentación
誇示,exhibición
誇称,jactancia
誇称,vanagloria
誇称,exageración
誇張,exageración
跨ぐ,"cruzar de un salto"
雇用,empleo
雇用,trabajo
雇用,labor
雇傭,empleo
雇傭,trabajo
雇傭,labor
顧みる,reflexionar
顧る,reflexionar
顧問,asesor
顧問,consejero
鼓手,"batería (música)"
鼓吹,insuflar
鼓吹,inculcar
鼓吹,imbuir
鼓吹,infundir
鼓動,latido
鼓舞激励,ánimo
鼓舞激励,aliento
鼓膜,tímpano
鼓膜,"membrana timpánica"
五,cuándo
五,cinco
五,5
五,"cinco (usado en documentos legales)"
５,cuándo
５,cinco
５,5
５,"cinco (usado en documentos legales)"
伍,cuándo
伍,cinco
伍,5
伍,"cinco (usado en documentos legales)"
五つ,cinco
５つ,cinco
伍つ,cinco
五感,"los cinco sentidos"
五月,Mayo
５月,Mayo
五種競技,pentatlón
五十音,"silabario japonés"
五段,"tipo de verbo japonés"
五段,"quinto rango (artes marciales, etc)"
五日,"quinto día del mes"
五日,"cinco días"
５日,"quinto día del mes"
５日,"cinco días"
五分五分,"quedar empatados"
五分五分,"estar en paz"
五分五分,"quedar iguales"
五分五分,"estar al 50%"
５分５分,"quedar empatados"
５分５分,"estar en paz"
５分５分,"quedar iguales"
５分５分,"estar al 50%"
五辺形,pentágono
五目,mezcla
五里霧中,"estar perdido en la niebla"
五里霧中,"no saber qué hacer"
五里霧中,"dar palos de ciego"
五里霧中,"andar perdido"
五里霧中,"estar desorientado"
五里夢中,"estar perdido en la niebla"
五里夢中,"no saber qué hacer"
五里夢中,"dar palos de ciego"
五里夢中,"andar perdido"
五里夢中,"estar desorientado"
互い,mutuo
互い,recíproco
互いに,mutuamente
互いに,"con los demás"
互いに,recíprocamente
互いに,juntos
互い違い,alternación
互換性,compatibilidad
互換性,intercambiabilidad
互助的,amigable
午,"séptimo signo del zodiaco chino (El Caballo"
午,11a.m.-1p.m.
午,sur
午,Mayo)
午後,"la tarde"
午後,p.m
午後,P.M.
午后,"la tarde"
午后,p.m
午后,P.M.
午餐会,banquete
午餐会,comida
午睡,siesta
午前,"la mañana"
午前,A.M.
呉れる,dar
呉れる,"dar al hablante"
呉れ呉れも,encarecidamenete
呉れ呉れも,ahincadamente
呉々も,encarecidamenete
呉々も,ahincadamente
呉呉も,encarecidamenete
呉呉も,ahincadamente
呉服屋,pañero
呉服屋,mercería
呉服屋,lencería
呉服屋,"mercancías generales(telas-paños-ropa)"
呉服店,pañería
呉服店,"tienda que vende telas"
吾子,niño
吾子,"mi niño"
吾木香,pimpinela
吾亦紅,pimpinela
娯楽,entretenimiento
後,después
後,luego
後,después
後,luego
後,"en lo venidero"
後,"desde entonces"
後,"más tarde"
後,"en el futuro"
後,venidero
後で,"después de eso"
後で,luego
後ろ,detrás
後ろ,atrás
後ろ,"parte trasera"
後ろ,después
後,detrás
後,atrás
後,"parte trasera"
後,después
後遺症,secuela
後援,patrocinio
後援,apoyo
後家,viuda
後回し,posposición
後悔,arrepentirse
後悔,"sentir remordimientos"
後悔,remordimiento
後悔,arrepentimiento
後期,post-
後期,"etapa posterior"
後継,sucesor
後継者,sucesor
後見,tutela
後ろ向き,"hacia atrás"
後ろ向き,retrógrado
後向き,"hacia atrás"
後向き,retrógrado
後妻,"segunda esposa"
後嗣,descendientes
後嗣,herederos
後嗣,descendencia
後嗣,sucesores
後始末,consecuencia
後始末,resultado
跡始末,consecuencia
跡始末,resultado
後者,último
後述,"expuesto luego"
後述,"expuesto después"
後書き,epílogo
後書き,posdata
後書,epílogo
後書,posdata
後先,"delante y detrás"
後先,"antes y después"
後先,"más o menos"
後先,"alrededor de"
後先,aproximadamente
後続,subsiguiente
後続,posterior
後退,retroceso
後退,"marcha atrás"
後退,reculada
後退,regresión
後退,retirada
後追い,rastreo
後追い,"seguimiento de las pistas"
後追い,persecución
跡追い,rastreo
跡追い,"seguimiento de las pistas"
跡追い,persecución
後ほど,luego
後ほど,"pasado un tiempo"
後ほど,"dentro de un rato"
後ほど,"hasta luego"
後程,luego
後程,"pasado un tiempo"
後程,"dentro de un rato"
後程,"hasta luego"
後天的,adquirido
後任,sucesor
後年,"años después"
後輩,"sufijo que indica menor antigüedad que uno en el trabajo escuela etc"
後半,"segunda mitad"
後部,"parte posterior"
後部,"parte trasera"
後払い,"pago aplazado"
後片付け,"organizar y limpiar"
後かたづけ,"organizar y limpiar"
後片づけ,"organizar y limpiar"
跡片付け,"organizar y limpiar"
跡片づけ,"organizar y limpiar"
跡かたづけ,"organizar y limpiar"
後方,espalda
後方,dorso
後戻り,regresar
後戻り,volver
後戻り,retroceder
後戻り,desandar
後戻り,"echarse atrás"
後戻り,retroceso
後戻り,regresión
御,honorable
お陰様で,"gracias a dios"
お陰様で,"gracias a ti"
お陰様で,afortunadamente
お陰様で,"gracias a Dios"
お陰様で,"gracias a Ud."
お陰様で,"gracias a su ayuda"
お蔭様で,"gracias a dios"
お蔭様で,"gracias a ti"
お蔭様で,afortunadamente
お蔭様で,"gracias a Dios"
お蔭様で,"gracias a Ud."
お蔭様で,"gracias a su ayuda"
お陰さまで,"gracias a dios"
お陰さまで,"gracias a ti"
お陰さまで,afortunadamente
お陰さまで,"gracias a Dios"
お陰さまで,"gracias a Ud."
お陰さまで,"gracias a su ayuda"
御陰様で,"gracias a dios"
御陰様で,"gracias a ti"
御陰様で,afortunadamente
御陰様で,"gracias a Dios"
御陰様で,"gracias a Ud."
御陰様で,"gracias a su ayuda"
御蔭様で,"gracias a dios"
御蔭様で,"gracias a ti"
御蔭様で,afortunadamente
御蔭様で,"gracias a Dios"
御蔭様で,"gracias a Ud."
御蔭様で,"gracias a su ayuda"
御苑,"jardín imperial"
おとぎ話,"cuento de hadas"
御伽噺,"cuento de hadas"
お伽話,"cuento de hadas"
お伽噺,"cuento de hadas"
御伽話,"cuento de hadas"
おとぎ噺,"cuento de hadas"
御釜,marica
御釜,"maricón (homosexual)"
御釜,travesti
御釜,"transexual (hombre disfrazado de mujer)"
御釜,homosexual
御釜,mariquita
御釜,sarasa
御釜,maricón
御釜,invertido
御釜,culo
御釜,"persona homosexual"
御釜,"hombre transvesti"
お釜,marica
お釜,"maricón (homosexual)"
お釜,travesti
お釜,"transexual (hombre disfrazado de mujer)"
お釜,homosexual
お釜,mariquita
お釜,sarasa
お釜,maricón
お釜,invertido
お釜,culo
お釜,"persona homosexual"
お釜,"hombre transvesti"
御竈,marica
御竈,"maricón (homosexual)"
御竈,travesti
御竈,"transexual (hombre disfrazado de mujer)"
御竈,homosexual
御竈,mariquita
御竈,sarasa
御竈,maricón
御竈,invertido
御竈,culo
御竈,"persona homosexual"
御竈,"hombre transvesti"
ご協力,cooperación
ご協力,colaboración
御協力,cooperación
御協力,colaboración
お互い様,"estamos igual"
お互い様,"estamos en las mismas"
お互い様,"compartimos destino"
お互いさま,"estamos igual"
お互いさま,"estamos en las mismas"
お互いさま,"compartimos destino"
御互い様,"estamos igual"
御互い様,"estamos en las mismas"
御互い様,"compartimos destino"
御高祖頭巾,"pañuelo usado por las mujeres en tiempos antiguos en clima frío"
御高祖頭巾,"cubría toda la cabeza (excepto los ojos)"
お高祖頭巾,"pañuelo usado por las mujeres en tiempos antiguos en clima frío"
お高祖頭巾,"cubría toda la cabeza (excepto los ojos)"
御座る,ser
御座る,estar
御座る,existir
御座る,haber
御座る,tener
ご座る,ser
ご座る,estar
ご座る,existir
ご座る,haber
ご座る,tener
御社,"su empresa"
御社,"su compañía"
ご主人,"(su) marido"
ご主人,"(su) esposo"
御主人,"(su) marido"
御主人,"(su) esposo"
お出で,"ven (familiar)"
御出で,"ven (familiar)"
御神籤,"papelito de la suerte"
御神籤,"papelitos con augurios escritos"
御神籤,"predicción de futuro escrita"
お神籤,"papelito de la suerte"
お神籤,"papelitos con augurios escritos"
お神籤,"predicción de futuro escrita"
お御籤,"papelito de la suerte"
お御籤,"papelitos con augurios escritos"
お御籤,"predicción de futuro escrita"
御御籤,"papelito de la suerte"
御御籤,"papelitos con augurios escritos"
御御籤,"predicción de futuro escrita"
おみ籤,"papelito de la suerte"
おみ籤,"papelitos con augurios escritos"
おみ籤,"predicción de futuro escrita"
お節介,entrometido
御節介,entrometido
おせち料理,"comida de fin de año"
お節料理,"comida de fin de año"
御節料理,"comida de fin de año"
御曹司,"hijo distinguido"
御曹司,"hijo de buena familia"
御曹子,"hijo distinguido"
御曹子,"hijo de buena familia"
ご馳走様,"muchas gracias por su amable invitación (a comer o beber)"
ご馳走さま,"muchas gracias por su amable invitación (a comer o beber)"
御馳走様,"muchas gracias por su amable invitación (a comer o beber)"
お中元,"regalos (a benefactores)"
御中元,"regalos (a benefactores)"
お釣り,"su cambio"
お釣り,"su vuelto"
お釣り,"cambio (dinero)"
御釣り,"su cambio"
御釣り,"su vuelto"
御釣り,"cambio (dinero)"
御釣,"su cambio"
御釣,"su vuelto"
御釣,"cambio (dinero)"
お日様,"el sol"
お日さま,"el sol"
御日様,"el sol"
お年玉,"regalo de Año Nuevo"
御年玉,"regalo de Año Nuevo"
ご飯,"arroz (cocinado)"
ご飯,platillo
ご飯,comida
ご飯,"comida (lit arroz)"
御飯,"arroz (cocinado)"
御飯,platillo
御飯,comida
御飯,"comida (lit arroz)"
ご無沙汰,"fuera de contacto por largo tiempo"
御無沙汰,"fuera de contacto por largo tiempo"
ご不沙汰,"fuera de contacto por largo tiempo"
御不沙汰,"fuera de contacto por largo tiempo"
ご迷惑,problema
ご迷惑,molestia
御迷惑,problema
御迷惑,molestia
御免,perdón
御免,discúlpeme
御免,"rechazar (algo)"
御免,"declinar (algo)"
御免,rechazo
御免,permiso
ご免,perdón
ご免,discúlpeme
ご免,"rechazar (algo)"
ご免,"declinar (algo)"
ご免,rechazo
ご免,permiso
御免なさい,"lo siento"
御免なさい,perdoname
御免なさい,"(exp,int) Lo siento"
ご免なさい,"lo siento"
ご免なさい,perdoname
ご免なさい,"(exp,int) Lo siento"
ご免ください,"¿puedo entrar?"
ご免ください,"¿me permite entrar?"
ご免ください,"¿puedo pasar?"
御免下さい,"¿puedo entrar?"
御免下さい,"¿me permite entrar?"
御免下さい,"¿puedo pasar?"
ご免下さい,"¿puedo entrar?"
ご免下さい,"¿me permite entrar?"
ご免下さい,"¿puedo pasar?"
御免ください,"¿puedo entrar?"
御免ください,"¿me permite entrar?"
御免ください,"¿puedo pasar?"
御輿,"altar (cargado en hombros)"
神輿,"altar (cargado en hombros)"
神興,"altar (cargado en hombros)"
ご覧,"sirvase mirar"
ご覧,"observe usted"
御覧,"sirvase mirar"
御覧,"observe usted"
御覧なさい,haz...
御覧なさい,"prueba a... (forma imperativa para niños o personas de nivel inferior al hablante)"
ご覧なさい,haz...
ご覧なさい,"prueba a... (forma imperativa para niños o personas de nivel inferior al hablante)"
御令嬢,"(tu) hija"
御令嬢,"mujer joven"
ご令嬢,"(tu) hija"
ご令嬢,"mujer joven"
お礼,agradecimiento
お礼,"expresión de gratitud"
御礼,agradecimiento
御礼,"expresión de gratitud"
お襁褓,pañal
御襁褓,pañal
悟り,iluminación
悟り,"verdad suprema"
覚り,iluminación
覚り,"verdad suprema"
悟る,"iluminarse espiritualmente"
覚る,"iluminarse espiritualmente"
碁,"juego japónes de Go"
棊,"juego japónes de Go"
棋,"juego japónes de Go"
碁盤,"tablero de Go"
語,idioma
語,lengua
語,lenguaje
語,palabra
語らう,hablar
語らう,decir
語らう,recitar
語らう,prometer
語らう,"conspirar con"
語り,hablar
語,hablar
語る,platicar
語る,conversar
語る,decir
語る,recitar
語意,"significado de una palabra"
語学,lingüístico
語義,significado
語義,sentido
語句,palabras
語句,frases
語源,etimología
語原,etimología
語数,"número de palabras"
語尾,"final de una frase"
語尾,"final de una palabra"
語彙,vocabulario
語彙,léxico
語い,vocabulario
語い,léxico
誤り,falla
誤り,falta
謬り,falla
謬り,falta
謬,falla
謬,falta
誤る,equivocarse
謬る,equivocarse
誤解,"entender mal"
誤解,"interpretar erróneamente"
誤解,"juzgar de modo equivocado"
誤解,malentendido
誤差,error
誤算,"error de cálculo"
誤字,"error tipográfico"
誤植,errata
誤植,"error de imprenta"
誤謬,equivocación
誤報,"información errónea"
誤魔化す,despistar
誤魔化す,confundir
誤魔化す,disimular
誤魔化す,estafar
誤摩化す,despistar
誤摩化す,confundir
誤摩化す,disimular
誤摩化す,estafar
胡麻化す,despistar
胡麻化す,confundir
胡麻化す,disimular
胡麻化す,estafar
誤魔かす,despistar
誤魔かす,confundir
誤魔かす,disimular
誤魔かす,estafar
胡魔化す,despistar
胡魔化す,confundir
胡魔化す,disimular
胡魔化す,estafar
護衛,guardia
護衛,escolta
護送,escolta
護符,amuleto
護符,talismán
御符,amuleto
御符,talismán
御封,amuleto
御封,talismán
乞食,mendigo
乞丐,mendicidad
鯉,carpa
交える,mezclar
交える,combinar
交える,"intercambiar (palabras, fuego, etc)"
交える,"cruzar (espadas)"
混える,mezclar
混える,combinar
混える,"intercambiar (palabras, fuego, etc)"
混える,"cruzar (espadas)"
雑える,mezclar
雑える,combinar
雑える,"intercambiar (palabras, fuego, etc)"
雑える,"cruzar (espadas)"
交わる,cruzar
交わる,"asociarse con"
交わる,"mezclar con"
交わる,interesar
交わる,unir
交感,simpatía
交感神経,"nervio simpático"
交換,cambio
交換,intercambio
交換,reciprocidad
交換,trueque
交換,sustitución
交換,reposición
交換手,"operadora telefónica"
交歓会,recepción
交響楽,"sinfónica (orquesta)"
交響楽団,"sinfónica (orquesta)"
交響曲,sinfonía
交互,mutuo
交互,recíproco
交互,alterno
交合,"acto sexual"
交合,coito
交合,cópula
媾合,"acto sexual"
媾合,coito
媾合,cópula
交差,cruce
交差,confluencia
交差,encrucijada
交叉,cruce
交叉,confluencia
交叉,encrucijada
交際,compañía
交際好き,sociable
交渉,negociar
交渉,tratar
交渉,negociación
交情,intimidad
交情,amistad
交接,"acto sexual"
交接,cópula
交接,coito
交戦,beligerancia
交戦,guerra
交通,comunicación
交通,transportación
交通,tráfico
交通安全,"seguridad vial"
交通機関,"medios de transporte"
交通事故,"accidente automovilístico"
交通費,"gastos de transporte"
交通網,"red de tráfico"
交番,"puesto de policía"
交尾,apareamiento
交尾,"cópula (animales)"
交付,entrega
交付,distribución
交友,amigo
交友,compañero
交流,intercambiar
交流,"hacer intercambio"
交流,relaciones
交流,"intercambio (cultural)"
交流,"corriente alterna"
交流,AC
侯爵,marqués
候補,candidatura
候補生,cadete
光,luz
光,rayo
光の速さ,"velocidad de la luz"
光る,brillar
光陰矢のごとし,"el tiempo vuela"
光陰矢のごとし,"tempus fugit"
光陰矢のごとし,"el tiempo pasa volando"
光陰矢の如し,"el tiempo vuela"
光陰矢の如し,"tempus fugit"
光陰矢の如し,"el tiempo pasa volando"
光栄,honor
光栄,honra
光学,óptica
光環,"corona (solar)"
光冠,"corona (solar)"
光景,escena
光景,espectáculo
光源,"fuente luminosa"
光子,fotón
光線,"rayo de luz"
光沢,lustre
光沢,brillo
光沢,pulido
光熱費,"gastos de luz y calefacción"
光年,"año luz"
光波,"onda lumñinica"
光波,"onda luminosa"
公,oficial
公,público
公,formal
公,abierto
公,gubernamental
公安,"seguridad pública"
公安,"bienestar público"
公営,"empresa pública"
公益,"interés público"
公益,"utilidad pública"
公益法人,"entidad sin ánimo de lucro"
公益法人,"asociación sin ánimo de lucro"
公園,"parque (público)"
公演,presentación
公演,exposición
公暇,"olvidar la falta"
公暇,permiso
公課,"impuestos públicos"
公課,impuestos
公開,"abierto al público"
公害,"contaminación ambiental"
公館,"residencia oficial"
公共,público
公共料金,tasa
公共料金,"precio de un servicio público"
公教会,"Iglesia Católica (Romana)"
公金,"fondos públicos"
公言,declaración
公言,alegación
公言,anunciación
公庫,"corporación financiera"
公国,ducado
公国,principado
公債,"deuda pública"
公債,"bonos del Estado"
公債,"obligaciones del Estado"
公算,probabilidad
公使,ministro
公使,enviado
公司,"empresa (china)"
公司,"compañía (china)"
公私,"público y privado"
公示,publicidad
公式,fórmula
公式,oficial
公社,"corporación pública"
公社債,"bonos públicos"
公社債,"títulos de deuda pública"
公爵,duque
公衆,público
公衆衛生,"sanidad pública"
公衆衛生,"higiene pública"
公衆電話,"teléfono público"
公衆道徳,"moral pública"
公衆便所,"baño público"
公署,"oficina de gobierno"
公証,"fe pública"
公証人,notario
公証人,"fedatario público"
公職,"función pública"
公職,funcionariado
公図,"plano catastral"
公図,"mapa catastral"
公正,justo
公設,púbico
公設,"establecido por la administración"
公選,"elección democrática"
公選,sufragio
公然,abiertamente
公然,"en público"
公然の秘密,"secreto a voces"
公訴,acusación
公訴,"solicitud de apertura del juicio oral"
公訴,"acción pública penal"
公訴,"proceso público penal"
公葬,exequias
公葬,"honras fúnebres"
公団,"corporación pública"
公定,oficial
公邸,"residencia oficial"
公党,"partido político"
公認,"reconocimiento oficial"
公認,autorización
公認,permiso
公認,licencia
公認,acreditación
公認会計士,"censor jurado de cuentas"
公判,"juicio público"
公判,"vista pública"
公判,"audiencia pública"
公費,"gasto público"
公表,anuncio
公表,comunicado
公表,aviso
公表,notificación
公布,proclamación
公布,declaración
公布,divulgación
公文書,"documento público"
公平,ecuánime
公平,imparcial
公募,"suscripción pública"
公民館,"centro comunitario"
公務,"función pública"
公務,"servicio público"
公務員,"funcionario público"
公務員,"empleado del gobierno"
公明,justo
公明,honrado
公約,promesa
公約,palabra
公約,juramento
公有,público
公有,"de propiedad pública"
公用,público
公用,oficial
公理,axioma
公立,público
公立,municipal
功績,logros
功績,éxitos
功名,"gran logro"
功名心,ambición
功名心,aspiración
効果,efecto
効果,eficacia
効果,resultado
効果音,"efecto de sonido"
効果的,efectivo
効果的,eficiente
効果覿面,"de efecto inmediato"
効果覿面,"que muestra sus efectos enseguida"
効果てきめん,"de efecto inmediato"
効果てきめん,"que muestra sus efectos enseguida"
効果てき面,"de efecto inmediato"
効果てき面,"que muestra sus efectos enseguida"
効能,efecto
効能,resultado
効能,eficacia
功能,efecto
功能,resultado
功能,eficacia
効用,utilidad
効用,valor
効率,eficiencia
効率的,eficaz
効率的,eficiente
効力,efecto
効力,poder
勾配,"plano inclinado"
勾配,rampa
厚い,cordial
厚い,bueno
厚い,"cálido (corazón)"
厚い,grueso
厚い,profundo
厚い,fiel
厚い,"grave (enfermedad)"
厚い,ferviente
篤い,cordial
篤い,bueno
篤い,"cálido (corazón)"
篤い,grueso
篤い,profundo
篤い,fiel
篤い,"grave (enfermedad)"
篤い,ferviente
厚かましい,impudente
厚かましい,descarado
厚かましい,atrevido
厚かましい,desvergonzado
厚かましい,insolente
厚かましい,infame
厚さ,espesor
厚さ,grosor
厚ぼったい,"muy grueso"
厚ぼったい,"muy pesado"
厚ぼったい,"gordo y pesado"
厚意,cordialidad
厚意,amabilidad
厚顔無恥,sinvergüenza
厚顔無恥,caradura
厚顔無恥,desvergonzado
厚紙,"papel grueso"
厚紙,cartón
厚手,grueso
厚手,espeso
厚情,afabilidad
厚情,hospitalidad
厚生,"seguro social"
厚生,"asistencia y salubridad social"
厚生省,"ministerio de sanidad y bienestar social"
厚生大臣,"ministro de sanidad y bienestar social"
厚相,"Ministro de Bienestar"
厚地,"tejido grueso"
厚地,"tela gruesa"
厚着,abrigarse
厚着,arroparse
厚着,"ponerse mucha ropa"
厚着,"abrigarse mucho"
厚み,grosor
厚み,profundidad
厚み,espesor
厚味,grosor
厚味,profundidad
厚味,espesor
口,boca
口,orificio
口,apertura
口,hocico
口,clase
口,especie
口が悪い,sarcástico
口が悪い,mordaz
口が悪い,"tener una lengua afilada"
口が悪い,"tener una lengua viperina"
口がわるい,sarcástico
口がわるい,mordaz
口がわるい,"tener una lengua afilada"
口がわるい,"tener una lengua viperina"
口が軽い,indiscreto
口が軽い,"suelto de lengua"
口が軽い,"ligero de lengua"
口が軽い,locuaz
口がかるい,indiscreto
口がかるい,"suelto de lengua"
口がかるい,"ligero de lengua"
口がかるい,locuaz
口が重い,taciturno
口が重い,reservado
口ずさむ,tararear
口ずさむ,canturrear
口遊む,tararear
口遊む,canturrear
口吟む,tararear
口吟む,canturrear
口号む,tararear
口号む,canturrear
口を出す,"interrumpir una conversación"
口をだす,"interrumpir una conversación"
口を入れる,"meter baza"
口を入れる,"inmiscuirse en una conversación ajena"
口を入れる,"interrumpir una charla"
口演,"exposición oral"
口演,"explicación oral"
口汚い,malhablado
口汚ない,malhablado
口下手,"habla defectiva"
口下手,"lentitud del habla"
口下手,"pobre hablador"
口べた,"habla defectiva"
口べた,"lentitud del habla"
口べた,"pobre hablador"
口火,fusible
口火,"chispa de enchufe"
口火,"causa (de guerra)"
口火,"origen (de una pelea)"
口外,"irse de la lengua"
口外,"""cantar"" (revelar secretos o información oculta)"
口外,"revelación (de secretos o información oculta)"
口外,indiscreción
口角,"comisuras de los labios"
口気,"mal respiro"
口気,insinuación
口供,"declaración oral"
口金,"(metal) tapa"
口語,"lenguaje hablado"
口語,"lenguaje coloquial"
口紅,pintalabios
口止め,tapaboca
口耳,"boca y oído"
口耳の学,"aprendizaje superficial"
口実,pretexto
口実,excusa
口車,cajuela
口重,"de habla tranquila"
口重,prudente
口重い,"de habla tranquila"
口重い,prudente
口出し,interferencia
口出し,entremeterse
口だし,interferencia
口だし,entremeterse
口述,oral
口承,"transmisión oral"
口承,"transmisión de boca a boca"
口上,"mensaje bocal"
口上,habla
口上手,"hablar suave"
口ぶり,"forma de hablar"
口ぶり,"manera de hablar"
口ぶり,tono
口振り,"forma de hablar"
口振り,"manera de hablar"
口振り,tono
口数が少ない,taciturno
口数が少ない,callado
口数が少ない,silencioso
口さがない,chismoso
口さがない,crítico
口さがない,criticador
口さがない,farfullador
口さがない,locuaz
口さがない,calumniador
口さがない,difamador
口さがない,insultante
口さがない,abusivo
口性ない,chismoso
口性ない,crítico
口性ない,criticador
口性ない,farfullador
口性ない,locuaz
口性ない,calumniador
口性ない,difamador
口性ない,insultante
口性ない,abusivo
口性無い,chismoso
口性無い,crítico
口性無い,criticador
口性無い,farfullador
口性無い,locuaz
口性無い,calumniador
口性無い,difamador
口性無い,insultante
口性無い,abusivo
口先,"meras palabras"
口先,profesiones
口先,labios
口先,boca
口先,hocico
口先,trompa
口先,probóscide
口さき,"meras palabras"
口さき,profesiones
口さき,labios
口さき,boca
口さき,hocico
口さき,trompa
口さき,probóscide
口早,"hablar rápido"
口中,"interior de la boca"
口調,tono
口調,expresión
口笛,silbido
口ぶえ,silbido
口答,"respuesta oral"
口答え,refunfuño
口答え,reproche
口ごたえ,refunfuño
口ごたえ,reproche
口応え,refunfuño
口応え,reproche
口頭,oral
口内,oral
口内炎,"inflamación de la mucosa bucal"
口内性交,"sexo oral"
口入れ,"actuar como casamentero(a)"
口入れ,"buenas oficios"
口付け,beso
口づけ,beso
口付ける,besar
口づける,besar
口癖,muletilla
口癖,"expresión favorita"
口ぐせ,muletilla
口ぐせ,"expresión favorita"
口約,apalabrar
口約,"comprometerse verbalmente"
口約,"compromiso verbal"
口利き,"persona con labia"
口利き,intermediador
口利き,mediador
口きき,"persona con labia"
口きき,intermediador
口きき,mediador
口ごもる,balbucear
口ごもる,tartamudear
口籠もる,balbucear
口籠もる,tartamudear
口篭る,balbucear
口篭る,tartamudear
口籠る,balbucear
口籠る,tartamudear
口論,pelea
口論,disputa
向き,orientación
向き,dirección
向く,encarar
向ける,"girar hacia"
向ける,dirigirse
向こう,"más allá"
向こう,"por allí"
向こう,"dirección opuesta"
向こう,"el otro grupo"
向後,"de aquí en adelante"
向後,"de ahora en adelante"
向後,"en lo sucesivo"
向後,"en el futuro"
嚮後,"de aquí en adelante"
嚮後,"de ahora en adelante"
嚮後,"en lo sucesivo"
嚮後,"en el futuro"
向暑,"enfrentar el calor"
向上,mejora
向上,mejoría
向上,progreso
